ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
39,12802377,0.10765574542979627,0.0,3.4345143630406803,1.692808300340382,0.989585977119716,0.08508795267831301,0.6698455682474819,0.42583555256074485,0.5669897642202376
63,1950684,0.016403386661553297,0.0,4.197888117999927,0.9294345453811357,0.7972558706841382,0.08508795267831301,0.8187290704329797,0.23380454427228278,0.5422118121329981
71 21,1806063,0.015187262377773608,2.0012677833126618,4.026172555511135,1.1011501078699273,0.789381452160964,0.10817452414076438,0.785238772715777,0.2770005703202355,0.5407726500739893
50,2095610,0.01762207570360843,0.0,3.701511243238999,1.4258114201420633,0.8045817387563333,0.08508795267831301,0.7219189207020075,0.3586709693126686,0.5288896905012646
268 263 51 13,405762,0.0034120703192137675,10.450829681248917,4.0247854610802944,1.1025372023007682,0.6367463885395593,0.2056484435281107,0.7849682427487932,0.2773495018107606,0.5269400182506092
39 63 39 36 44,163861,0.0013779142812207332,15.281828180684803,4.1506068298263585,0.9767158335547035,0.5440546242363284,0.2613787126216382,0.8095076324081705,0.24569842113425622,0.5215407687274898
262 12,629851,0.005296444473920945,1.729073876137898,4.2987324537313,0.8285902096497625,0.6816961277586819,0.10503450252944747,0.8383971003877932,0.20843657825973677,0.5213871294467205
51 361 50 368 51 292 71 21,9505,0.00007992795871502718,42.79516033232553,3.863264088445577,1.2640585749354856,0.2530013646406241,0.5787717742526004,0.7534661541854402,0.3179811214409601,0.5193536069043542
262 63 39 36 44,92818,0.0007805106020001466,16.86527461516062,4.367034766129066,0.7602878972519966,0.48595255353654404,0.27964530821234856,0.8517183436334302,0.19125474323728867,0.518189097194517
39 63 39 266 44,146663,0.0012332955506598666,15.199498309864142,4.132287379810026,0.9950352835710367,0.5327198775762316,0.2604289574404253,0.8059347248267599,0.2503067829427053,0.5179103798849359
50 63 39,316645,0.0026626815873035015,6.418933214789753,4.144301446184584,0.9830212171964783,0.611396228015253,0.15913659405035782,0.8082778709798899,0.24728457623915662,0.5126231467952377
262,2419816,0.02034833806901233,0.0,3.040545636279838,2.0867770271012245,0.8192863886322632,0.08508795267831301,0.593008444347608,0.5249406257211984,0.5123876347074866
39 63,386885,0.0032533328045726766,0.8814993904744134,4.4813833900282365,0.6459392733528262,0.6318764925272612,0.09525690599979635,0.8740201630051345,0.162489696756318,0.5120638611970092
279,1282528,0.01078483377536732,0.0,3.5436522752198636,1.5836703881611989,0.7543883959903147,0.08508795267831301,0.6911311239544863,0.3983812902388957,0.5115221740870615
51 33,404702,0.003403156733076163,1.6687285527506093,4.345131175888722,0.7821914874923406,0.636478991379005,0.10433836049767035,0.8474464084192144,0.19676471589703137,0.5113252883004485
51 33 39,346358,0.0029125394975927812,4.659635349711887,4.160207919582988,0.9671147437980743,0.6205648997375491,0.13884138107359809,0.8113801671376892,0.2432832124181379,0.5103271105636987
268,990757,0.008331318736730582,0.0,3.718718147136957,1.4086045162441059,0.728002334309246,0.08508795267831301,0.7252748444516182,0.3543424748057756,0.5102701385258225
71 21 264 12,221678,0.001864099950765891,8.441648887701795,4.151766749384015,0.9755559139970473,0.5749475801203838,0.18247058779186837,0.8097338556505539,0.2454066367747034,0.5095723869719624
50 63 39 36 44,85302,0.0007173082308584164,16.950976670688878,4.129597964867013,0.9977246985140487,0.47732045382095784,0.2806339648258863,0.8054101986520722,0.2509833205625246,0.509029672274315
262 63 39 266 44,64376,0.000541340586032466,16.415030639983847,4.257171372374453,0.8701512910066098,0.44854869056845326,0.2744513057929169,0.830291294670967,0.21889150457422643,0.504185677911315
280,388144,0.0032639197903719633,0.0,4.255033717443824,0.8722889459372376,0.6322086106434869,0.08508795267831301,0.829874380216588,0.21942924382585052,0.5026945604801333
262 12 39 281,86117,0.0007241616013321405,9.490107503553553,4.5823008755147026,0.5450217878663596,0.4782924987319467,0.19456557825847043,0.8937024596172066,0.1371033295069789,0.5015758795396734
275,304675,0.002562025336296781,0.0,4.346111028412102,0.7812116349689612,0.6074569470004708,0.08508795267831301,0.8476375125465941,0.19651822842373778,0.49928708857456455
307 263 51,118133,0.0009933855388618944,7.836323592600422,4.397748767444407,0.7295738959366553,0.5106060564200459,0.17548757142598503,0.8577086046978835,0.1835284615792652,0.49925068784265664
51 33 39 12 51,71328,0.0005998002566255085,9.892862779634768,4.571242770441874,0.5560798929391885,0.45903160108586233,0.1992117523190637,0.8915457580014092,0.13988505870987566,0.49758461245820607
282 21 264 22 71 12 71 21,14769,0.00012419316383611114,24.780794537146644,4.445560311048565,0.6817623523324972,0.2980529102111946,0.3709585336912987,0.8670334603278255,0.17150119594891297,0.4964397514826992
280 12,287126,0.002414455031458274,3.235980732338245,3.9884013466586596,1.1389213167224026,0.6013925387299933,0.1224181395984164,0.7778721193311102,0.2865021326585977,0.49618323124678065
262 63 39,246530,0.0020730815004750816,5.850303034313889,3.8643297568215513,1.2629929065595111,0.5858097171676652,0.1525768915424143,0.7536739952841846,0.31771304650203264,0.4960395075022893
300 263 51,87914,0.0007392726525484376,8.158389094534655,4.501209678508827,0.6261129848722351,0.4804036594873662,0.17920291041659592,0.8778869546588348,0.15750228116492257,0.4957874187813211
286,399960,0.003363281048675673,0.0,3.9978980376410367,1.1294246257400258,0.6352741288669702,0.08508795267831301,0.7797242927958702,0.28411318604771096,0.49561100077203196
39 33 39,306113,0.0025741175408872294,3.854876188628747,3.8399047791548004,1.287417884226262,0.6079382888246472,0.12955770097974548,0.7489103049002748,0.32385728850445744,0.49507119744186295
71 21 264,326407,0.0027447706702047213,5.328966542562105,3.6160622257028026,1.5112604376782601,0.6145001477496167,0.14656276775889518,0.7052534944852283,0.38016615550178556,0.4941293752722257
282 21 261 22 71 12 261 21,13543,0.00011388367647318391,25.622512710463155,4.304774804145847,0.822547859235216,0.2891940875773263,0.3806685719588162,0.8395755615089746,0.20691659065864418,0.49235460001097336
300 263 51 13,65301,0.0005491189512940547,10.79793065950407,4.382480265909624,0.7448423974714385,0.45000707006843943,0.2096525911019601,0.8547307344647833,0.18736933995074506,0.4921760733478858
51 63 39,187116,0.0015734665884188349,3.6755897796605677,4.133126477139339,0.9941961862417239,0.5576208437217935,0.1274894577754109,0.806098376967341,0.2500957032387552,0.49092636279868374
39 63 39,364708,0.003066845446295648,4.011839220495845,3.5328027598798903,1.5945199035011721,0.6258421415996956,0.13136842230468707,0.6890151043371799,0.40111054750853736,0.4906245096203892
282 21 264 283,35247,0.0002963935571623948,13.399514120662976,4.595917205979849,0.5314054574012129,0.3869727750862577,0.23966438812002722,0.8963581010423882,0.13367806416162967,0.49043633579065155
432 12 42 281 42 13 71 21,4587,0.00003857228265395367,35.34559988525682,4.192680395918861,0.9346422674622008,0.1785215363288254,0.49283384477650616,0.8177133898482062,0.23511457637073555,0.4893057181788154
313 263 51,62417,0.0005248672697649502,8.189745675434805,4.568647090779954,0.5586755726011087,0.44538962873640175,0.17956463909269102,0.8910395133524313,0.14053801668679616,0.48918309913364355
286 12 39,100479,0.0008449322844531526,4.893429809168187,4.4358558782136654,0.6914667851673966,0.4940597800461855,0.14153842768613523,0.8651407702296954,0.17394240120393628,0.487790181694064
271 12,230686,0.0019398486148484756,1.8872205598082306,4.0175298179651655,1.1097928454158965,0.5790193400391582,0.10685887842983863,0.783553148831075,0.27917470008896667,0.48758936172147044
